O9G_000001	PITH domain-containing protein
O9G_004832	Crotonase superfamily domain-containing protein
O9G_004833	hypothetical protein
O9G_004834	Ran-interacting Mog1 protein domain-containing protein
O9G_004835	hypothetical protein
O9G_004836	hypothetical protein
O9G_004837	Cyclic nucleotide-binding-like domain-containing protein
O9G_004839	hypothetical protein
O9G_004840	hypothetical protein
O9G_004841	hypothetical protein
O9G_004842	hypothetical protein
O9G_004843	hypothetical protein
O9G_004845	hypothetical protein
O9G_004846	hypothetical protein
O9G_004847	hypothetical protein
O9G_004848	Serine-threonine/tyrosine-protein kinase catalytic domain-containing protein
O9G_004849	Geranylgeranyl transferase type-2 subunit beta domain-containing protein
O9G_004850	hypothetical protein
O9G_004851	Apoptosis-antagonizing transcription factor domain-containing protein
O9G_004852	H/ACA ribonucleoprotein complex subunit 3
O9G_004853	Myotubularin Y-phosphatase-like domain-containing protein
O9G_004854	hypothetical protein
O9G_004855	P-type ATPase, cytoplasmic N domain-containing protein
O9G_004856	Prefoldin, subunit 4 domain-containing protein
O9G_004857	hypothetical protein
O9G_004859	hypothetical protein
O9G_004860	Ribosomal protein S2, flavodoxin-like domain-containing protein
O9G_004862	hypothetical protein
O9G_004863	MAGE protein domain-containing protein
O9G_004864	Ribonuclease H domain-containing protein
O9G_004865	hypothetical protein
O9G_004866	Major facilitator superfamily, general substrate transporter domain-containing protein
O9G_004867	Helicase, superfamily 1/2, ATP-binding domain-containing protein
O9G_004868	hypothetical protein
O9G_004869	Small GTP-binding protein domain-containing protein
O9G_004870	hypothetical protein
O9G_004872	hypothetical protein
O9G_004873	hypothetical protein
O9G_004874	Zinc finger, RING-type domain-containing protein
O9G_004875	Major facilitator superfamily, general substrate transporter domain-containing protein
O9G_004876	hypothetical protein
O9G_004877	40S ribosomal protein S8-B
O9G_004878	Small GTPase superfamily domain-containing protein
O9G_004879	hypothetical protein
O9G_004880	hypothetical protein
O9G_004881	Taurine catabolism dioxygenase TauD/TfdA domain-containing protein
O9G_004882	hypothetical protein
O9G_004883	hypothetical protein
O9G_004884	hypothetical protein
O9G_004885	hypothetical protein
O9G_004886	hypothetical protein
O9G_004888	hypothetical protein
O9G_004889	SKI-interacting protein SKIP, SNW domain-containing protein
O9G_004890	Protein kinase, ATP binding site domain-containing protein
O9G_004891	NAD(P)-binding domain-containing protein
O9G_004892	hypothetical protein
O9G_004893	hypothetical protein
O9G_004894	hypothetical protein
O9G_004895	hypothetical protein
O9G_004896	Mitochondrial glycoprotein domain-containing protein
O9G_004898	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_004899	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_004900	hypothetical protein
O9G_004901	Carotenoid oxygenase domain-containing protein
O9G_004902	hypothetical protein
O9G_004903	Polysaccharide deacetylase domain-containing protein
O9G_004904	Myosin tail 2 domain-containing protein
O9G_004906	Tetratricopeptide-like helical domain-containing protein
O9G_004907	Tetratricopeptide-like helical domain-containing protein
O9G_004908	Alternative oxidase domain-containing protein
O9G_004909	hypothetical protein
O9G_004911	hypothetical protein
O9G_004912	TatD family domain-containing protein
O9G_004913	hypothetical protein
O9G_004914	Protein kinase, ATP binding site domain-containing protein
O9G_004915	hypothetical protein
O9G_004917	hypothetical protein
O9G_004918	hypothetical protein
O9G_004919	hypothetical protein
O9G_004920	Malate synthase, glyoxysomal
O9G_004921	hypothetical protein
O9G_004922	hypothetical protein
O9G_004923	hypothetical protein
O9G_004924	26S proteasome complex ubiquitin receptor, subunit Rpn13 domain-containing protein
O9G_004925	Zinc finger, C2H2 domain-containing protein
O9G_004926	Histone-fold domain-containing protein
O9G_004927	Peptidyl-tRNA hydrolase II domain-containing protein
O9G_004928	hypothetical protein
O9G_004930	hypothetical protein
O9G_004931	Fumarylacetoacetase domain-containing protein
O9G_004932	DNA ligase, ATP-dependent domain-containing protein
O9G_004933	hypothetical protein
O9G_004934	Peptidase M16 domain-containing protein
O9G_004935	40S ribosomal protein S14
O9G_004936	Ku70/Ku80 beta-barrel domain-containing protein
O9G_004937	hypothetical protein
O9G_004938	hypothetical protein
O9G_004939	Adenylate kinase domain-containing protein
O9G_004940	hypothetical protein
O9G_004943	Dynein heavy chain domain-containing protein
O9G_004944	hypothetical protein
O9G_004945	Actin interacting protein 3 domain-containing protein
O9G_004946	hypothetical protein
O9G_004947	DNA/RNA helicase, DEAD/DEAH box type domain-containing protein
O9G_004948	DNA ligase, ATP-dependent, central domain-containing protein
O9G_004949	Protein of unknown function DUF3743 domain-containing protein
O9G_004950	hypothetical protein
O9G_004951	hypothetical protein
O9G_004954	Glycogen/starch/alpha-glucan phosphorylase domain-containing protein
O9G_004955	DNA-directed RNA polymerases I, II, and III subunit rpabc5
O9G_004956	hypothetical protein
O9G_004957	hypothetical protein
O9G_004959	Eukaryotic translation initiation factor 6
O9G_004960	G protein alpha subunit, helical insertion domain-containing protein
O9G_004961	Ribonuclease CAF1 domain-containing protein
O9G_004962	hypothetical protein
O9G_004963	Hydroxymethylglutaryl-CoA reductase domain-containing protein
O9G_004964	Cytochrome c oxidase copper chaperone
O9G_004965	hypothetical protein
O9G_004966	hypothetical protein
O9G_004967	Copper-transporting P-type ATPase domain-containing protein
O9G_004968	hypothetical protein
O9G_004969	hypothetical protein
O9G_004970	hypothetical protein
O9G_004971	Cation efflux protein transmembrane domain-containing protein
O9G_004972	hypothetical protein
O9G_004974	hypothetical protein
O9G_004975	hypothetical protein
O9G_004976	V-type proton ATPase subunit D
O9G_004977	Capsule synthesis protein, CapA domain-containing protein
O9G_004978	C2 calcium/lipid-binding, CaLB domain-containing protein
O9G_004979	V-type proton ATPase subunit d 1
O9G_004980	hypothetical protein
O9G_004981	26S protease regulatory subunit 6B-like protein
O9G_004983	hypothetical protein
O9G_004984	hypothetical protein
O9G_004985	hypothetical protein
O9G_004986	hypothetical protein
O9G_004987	hypothetical protein
O9G_004988	hypothetical protein
O9G_004989	hypothetical protein
O9G_004990	hypothetical protein
O9G_004991	hypothetical protein
O9G_004992	hypothetical protein
O9G_004993	hypothetical protein
O9G_004994	hypothetical protein
O9G_004995	hypothetical protein
O9G_004996	hypothetical protein
O9G_004998	hypothetical protein
O9G_004999	hypothetical protein
O9G_005000	ATP synthase subunit alpha, mitochondrial
O9G_005001	Engulfment/cell motility, ELMO domain-containing protein
O9G_005002	Adenylylsulfate kinase domain-containing protein
O9G_005003	hypothetical protein
O9G_005004	hypothetical protein
O9G_005006	hypothetical protein
O9G_005007	hypothetical protein
O9G_005008	hypothetical protein
O9G_005009	hypothetical protein
O9G_005010	hypothetical protein
O9G_005011	hypothetical protein
O9G_005012	hypothetical protein
O9G_005013	hypothetical protein
O9G_005014	Phenylalanyl-tRNA synthetase domain-containing protein
O9G_005016	hypothetical protein
O9G_005017	hypothetical protein
O9G_005018	hypothetical protein
O9G_005019	hypothetical protein
O9G_005020	hypothetical protein
O9G_005021	hypothetical protein
O9G_005022	ABC transporter domain-containing protein
O9G_005023	hypothetical protein
O9G_005024	hypothetical protein
O9G_005025	FeS cluster biogenesis domain-containing protein
O9G_005027	Vacuolar import/degradation, Vid27-related domain-containing protein
O9G_005028	CWC16 protein domain-containing protein
O9G_005029	ER lumen protein retaining receptor domain-containing protein
O9G_005030	hypothetical protein
O9G_005031	NAD(P)-binding domain-containing protein
O9G_005032	hypothetical protein
O9G_005033	Brl1/Brr6 domain-containing protein
O9G_005035	hypothetical protein
O9G_005036	hypothetical protein
O9G_005037	hypothetical protein
O9G_005039	hypothetical protein
O9G_005040	40S ribosomal protein S11
O9G_005041	60S ribosomal protein L18-2
O9G_005042	hypothetical protein
O9G_005043	Transcription factor E2F/dimerization partner (TDP) domain-containing protein
O9G_005044	Prohibitin-2
O9G_005045	hypothetical protein
O9G_005046	hypothetical protein
O9G_005047	DNA methylase, N-6 adenine-specific domain-containing protein
O9G_005048	hypothetical protein
O9G_005049	Exportin-1/Importin-beta-like domain-containing protein
O9G_005050	hypothetical protein
O9G_005052	hypothetical protein
O9G_005053	P-type ATPase domain-containing protein
O9G_005056	L-lactate/malate dehydrogenase domain-containing protein
O9G_005057	hypothetical protein
O9G_005058	hypothetical protein
O9G_005059	Oxysterol-binding C2F12.05c-like protein
O9G_005061	hypothetical protein
O9G_005062	FAD-dependent glycerol-3-phosphate dehydrogenase domain-containing protein
O9G_005063	Small GTPase superfamily, Ras type domain-containing protein
O9G_005065	AAA domain-containing protein
O9G_005066	hypothetical protein
O9G_005067	hypothetical protein
O9G_005068	hypothetical protein
O9G_005069	hypothetical protein
O9G_005070	DNA/RNA-binding protein Kin17, conserved domain-containing protein
O9G_005071	Propionyl-CoA carboxylase alpha chain, mitochondrial
O9G_005072	hypothetical protein
O9G_005073	Helicase, superfamily 1/2, ATP-binding domain-containing protein
O9G_005074	hypothetical protein
O9G_005076	hypothetical protein
O9G_005077	hypothetical protein
O9G_005078	hypothetical protein
O9G_005079	hypothetical protein
O9G_005080	hypothetical protein
O9G_005081	hypothetical protein
O9G_005082	hypothetical protein
O9G_005084	Transmembrane GTPase Fzo/Fzo1/Marf domain-containing protein
O9G_005085	hypothetical protein
O9G_005086	High mobility group (HMG) box domain-containing protein
O9G_005088	Inorganic pyrophosphatase domain-containing protein
O9G_005089	Zinc finger, C2H2 domain-containing protein
O9G_005090	Nucleotide-sensitive chloride conductance regulator (ICln) domain-containing protein
O9G_005091	hypothetical protein
O9G_005092	TMC domain-containing protein
O9G_005093	hypothetical protein
O9G_005094	hypothetical protein
O9G_005095	hypothetical protein
O9G_005096	hypothetical protein
O9G_005097	hypothetical protein
O9G_005098	hypothetical protein
O9G_005099	Triacylglycerol lipase domain-containing protein
O9G_005101	hypothetical protein
O9G_005102	hypothetical protein
O9G_005103	hypothetical protein
O9G_005104	Cupin-like domain-containing protein
O9G_005105	hypothetical protein
O9G_005106	Signal recognition particle, SRP54 subunit, GTPase domain-containing protein
O9G_005107	Mediator complex, subunit Med31 domain-containing protein
O9G_005109	hypothetical protein
O9G_005111	hypothetical protein
O9G_005112	RHD3/Sey1 domain-containing protein
O9G_005113	hypothetical protein
O9G_005114	hypothetical protein
O9G_005115	hypothetical protein
O9G_005116	hypothetical protein
O9G_005117	NAD(P)-binding domain-containing protein
O9G_005118	hypothetical protein
O9G_005120	hypothetical protein
O9G_005121	Phosphoribulokinase/uridine kinase domain-containing protein
O9G_005122	hypothetical protein
O9G_005123	Malonyl CoA-acyl carrier protein transacylase domain-containing protein
O9G_005124	CCAAT-binding factor domain-containing protein
O9G_005125	hypothetical protein
O9G_005126	DNA methylase, C-5 cytosine-specific domain-containing protein
O9G_005127	hypothetical protein
O9G_005129	hypothetical protein
O9G_005130	hypothetical protein
O9G_005131	Nucleic acid-binding domain-containing protein
O9G_005132	hypothetical protein
O9G_005134	hypothetical protein
O9G_005135	hypothetical protein
O9G_005136	hypothetical protein
O9G_005137	hypothetical protein
O9G_005138	hypothetical protein
O9G_005139	40S ribosomal protein S27
O9G_005141	hypothetical protein
O9G_005142	Gtr1/RagA G protein domain-containing protein
O9G_005143	hypothetical protein
O9G_005144	hypothetical protein
O9G_005145	Rab-GTPase-TBC domain-containing protein
O9G_005146	E2F Family domain-containing protein
O9G_005147	Kinesin, motor region domain-containing protein
O9G_005149	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_005150	UbiB domain-containing protein
O9G_005151	hypothetical protein
O9G_005152	Protein kinase, catalytic domain-containing protein
O9G_005153	Peptidase M24, structural domain-containing protein
O9G_005155	rRNA-processing protein FCF1-like protein
O9G_005156	NO signaling/Golgi transport ligand-binding domain-containing protein
O9G_005157	hypothetical protein
O9G_005158	hypothetical protein
O9G_005159	Translation elongation factor EFTs/EF1B, dimerization domain-containing protein
O9G_005161	hypothetical protein
O9G_005163	Acyl-CoA oxidase/dehydrogenase, central domain-containing protein
O9G_005166	hypothetical protein
O9G_005167	hypothetical protein
O9G_005168	Adenylate kinase
O9G_005169	Like-Sm (LSM) domain-containing protein
O9G_005170	hypothetical protein
O9G_005171	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
O9G_005173	hypothetical protein
O9G_005174	hypothetical protein
O9G_005176	hypothetical protein
O9G_005177	Small GTP-binding protein domain-containing protein
O9G_005178	TIP41-like protein domain-containing protein
O9G_005179	Nucleotide-binding, alpha-beta plait domain-containing protein
O9G_005180	Protein kinase, catalytic domain-containing protein
O9G_005182	Choline transporter-like domain-containing protein
O9G_005183	EF hand associated, type-2 domain-containing protein
O9G_005184	hypothetical protein
O9G_005185	Peptidyl-prolyl cis-trans isomerase
O9G_005186	Peptidyl-prolyl cis-trans isomerase, FKBP-type domain-containing protein
O9G_005188	hypothetical protein
O9G_005189	hypothetical protein
O9G_005191	Elongation Factor 3-like protein
O9G_005192	hypothetical protein
O9G_005193	Elongation factor, GTP-binding domain-containing protein
O9G_005194	hypothetical protein
O9G_005195	hypothetical protein
